"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Srpk2",4.39925831117723e-24,0.692894677531397,0.878,0.665,8.16282379638935e-20,"7","Srpk2"
"Erbb4",4.45681865797352e-24,0.153455333600727,0.081,0.006,8.26962701986987e-20,"7","Erbb4"
"AI593442",5.01017953832409e-24,0.118007814339624,0.047,0.002,9.29638813336035e-20,"7","AI593442"
"Vwa5b2",5.11773836580092e-24,0.101185654224299,0.047,0.002,9.4959635377436e-20,"7","Vwa5b2"
"Igsf21",5.3237027302002e-24,0.101512833053434,0.047,0.002,9.87813041588647e-20,"7","Igsf21"
"Eef1a21",5.60366314074872e-24,0.21404530745535,0.122,0.015,1.03975969576592e-19,"7","Eef1a2"
"Zfp4222",5.986395199773e-24,0.878543192024508,0.628,0.387,1.11077562931788e-19,"7","Zfp422"
"Zfp6381",6.72137928636479e-24,0.673264461879477,1,0.887,1.24715192658499e-19,"7","Zfp638"
"A430106G13Rik",6.764988829516e-24,0.296828316095413,0.145,0.022,1.25524367731669e-19,"7","A430106G13Rik"
"Grin2d1",7.12959867710358e-24,0.216935515515573,0.122,0.015,1.32289703453657e-19,"7","Grin2d"
"Crabp12",7.38038270475821e-24,2.15014223196192,0.936,0.556,1.36943001086789e-19,"7","Crabp1"
"Pcdhb16",7.90407998862627e-24,0.331120312191275,0.18,0.033,1.4666020418896e-19,"7","Pcdhb16"
"Kcnh21",8.56510446498591e-24,0.340146951696473,0.169,0.029,1.58925513347814e-19,"7","Kcnh2"
"Tcf24",8.58299394867996e-24,0.304186709286491,0.058,0.003,1.59257452717757e-19,"7","Tcf24"
"Pcdh171",8.85043342976232e-24,0.51074777022154,0.186,0.035,1.6421979228924e-19,"7","Pcdh17"
"Stox23",9.8649644309843e-24,0.975127806712722,0.616,0.356,1.83044415016914e-19,"7","Stox2"
"Dennd5b2",1.0520361152397e-23,0.909757963340783,0.552,0.292,1.95205301182727e-19,"7","Dennd5b"
"Gm10421",1.30390931765853e-23,0.12472022421476,0.052,0.002,2.41940373891541e-19,"7","Gm10421"
